paper_id,claim_id,claim_statement,claim_polarity,packet_status,packet_quality_score,reconciliation_disposition,reconciliation_effective_weight_ppm,odracir_assertion_id,sciengram_local_assertion_id,sciengram_canonical_claim_id,sciengram_canonical_statement,sciengram_alignment_confidence,sciengram_relation_observation_count,sciengram_has_belief_state
1_3,clm_1c1704c985c91928183c0cc9,"Mosaic-seq can robustly and specifically detect changes in gene expression induced by epigenome engineering in single cells, consistent with traditional approaches.",positive,accepted,0.9138,core_accepted,913800,ga_b4f5ade77a4b838da32971b4,local:1-3:paper-assertion:clm-1c1704c985c91928183c0cc9,claim:8b8f79c3d617f5f663e1,mosaic-seq can robustly and specifically detect change in gene expression induced by epigenome engineering in single cell consistent with traditional approache.,1.0,2,True
1_3,clm_6db716b07a9a4b646227c084,Only a small number of constituent enhancers are major effectors of target gene expression when repressed by KRAB.,positive,accepted,0.9138,core_accepted,913800,ga_e5afd5a4e29387d99a9fcd83,local:1-3:paper-assertion:clm-6db716b07a9a4b646227c084,claim:277fca804e8ef91a6bd0,only a small number of constituent enhancer are major effector of target gene expression when repressed by krab.,1.0,3,True
1_3,clm_abb4088c06769c95f59b7f19,Simultaneous repression of multiple weak constituent enhancers can alter super-enhancer activity in a manner greatly exceeding repression of individual constituents.,positive,accepted,0.9138,core_accepted,913800,ga_790816030359b2f96fe51e2f,local:1-3:paper-assertion:clm-abb4088c06769c95f59b7f19,claim:7cba7badb631271d87c5,simultaneous repression of multiple weak constituent enhancer can alter super-enhancer activity in a manner greatly exceeding repression of individual constituent.,1.0,4,True
1_3,clm_c1f01d231b2aab7776fbc512,Binding of p300 and RNAPII are key features of active constituent enhancers.,positive,accepted,0.9138,core_accepted,913800,ga_b868ecc1ff727e59d634633e,local:1-3:paper-assertion:clm-c1f01d231b2aab7776fbc512,claim:af315da091d93723e275,binding of p300 and rnapii are key feature of active constituent enhancer.,1.0,2,True
1_3,clm_d2668f48dfa58fd66c68aab4,Mosaic-seq can efficiently genotype sgRNAs in single cells with low barcode contamination rate.,positive,accepted,0.9138,core_accepted,913800,ga_30b374346b0c745e58373ec0,local:1-3:paper-assertion:clm-d2668f48dfa58fd66c68aab4,claim:66d3ca9414ec5f280e52,mosaic-seq can efficiently genotype sgrna in single cell with low barcode contamination rate.,1.0,1,True
1_4,clm_23f3b1b939274d3a72e4e52e,"sci-Plex can distinguish cell-type-specific and shared transcriptional responses to compounds, as exemplified by the distinct response of MEK inhibitor trametinib in MCF7 versus A549 and K562 cells.",positive,provisional,0.9252,deferred,323820,ga_b8c1d5e36a5c1ff70c6b1706,local:1-4:paper-assertion:clm-23f3b1b939274d3a72e4e52e,claim:c49b92f73c0cc081942a,sci-plex can distinguish cell-type-specific and shared transcriptional response to compound as exemplified by the distinct response of mek inhibitor trametinib in mcf7 versus a549 and k562 cell.,1.0,0,False
1_4,clm_28a5b9d3518de21cc28894a0,"Nuclear hashing using unmodified ssDNA oligos stably labels nuclei and is compatible with sci-RNA-seq, enabling single-cell transcriptomic profiling of many samples in a single experiment.",positive,provisional,0.9252,deferred,323820,ga_f7ed27a11cc2049db4428363,local:1-4:paper-assertion:clm-28a5b9d3518de21cc28894a0,claim:3e7821fcd3090a69ed93,nuclear hashing using unmodified ssdna oligo stably label nuclei and is compatible with sci-rna-seq enabling single-cell transcriptomic profiling of many sample in a single experiment.,1.0,0,False
1_4,clm_6d795dbe52eb56b68abce2ae,"sci-Plex enables high-throughput chemical screens at single-cell resolution, profiling ~650,000 cells across ~5000 conditions in a single experiment.",positive,provisional,0.9252,deferred,323820,ga_7b04bf5d1a08b349c8471930,local:1-4:paper-assertion:clm-6d795dbe52eb56b68abce2ae,claim:2a2dd6d029a4c98f288e,sci-plex enable high-throughput chemical screen at single-cell resolution profiling 650 000 cell across 5000 condition in a single experiment.,1.0,0,False
1_4,clm_7fc56917fabc6dbadb745077,"sci-Plex can identify compounds that target convergent pathways by comparing single-cell transcriptional responses, as evidenced by the similarity between MEK and HSP90 inhibitor signatures.",positive,provisional,0.9252,deferred,323820,ga_25b97e8b39433ec1c3277936,local:1-4:paper-assertion:clm-7fc56917fabc6dbadb745077,claim:b7b5bb7e29f53948447b,sci-plex can identify compound that target convergent pathway by comparing single-cell transcriptional response as evidenced by the similarity between mek and hsp90 inhibitor signature.,1.0,0,False
1_4,clm_c6350849a3bcc95229c21a75,"HDAC inhibitor dose governs the magnitude rather than the rate of cellular response, and heterogeneity in response cannot be solely attributed to asynchrony.",positive,provisional,0.9252,excluded_invalid,0,ga_db895dd46d8643b07df00998,local:1-4:paper-assertion:clm-c6350849a3bcc95229c21a75,claim:4d237cef75010b5b1c0b,hdac inhibitor dose govern the magnitude rather than the rate of cellular response and heterogeneity in response be solely attributed to asynchrony.,1.0,0,False
1_4,clm_e0d16820a7090ec6931f5866,"The global transcriptional response to HDAC inhibitors is consistent with induction of an acetyl-CoA-deprived state, as supported by upregulation of acetyl-CoA synthesis enzymes and blocking of the response by acetyl-CoA precursors.",positive,provisional,0.9252,deferred,323820,ga_2ffe46b265cc8827d6a2314f,local:1-4:paper-assertion:clm-e0d16820a7090ec6931f5866,claim:dcac7c7b30dfdd864840,the global transcriptional response to hdac inhibitor is consistent with induction of an acetyl-coa-deprived state as supported by upregulation of acetyl-coa synthesis enzyme and blocking of the response by acetyl-coa precursor.,1.0,0,False
1_4,clm_eca46814a1c32df7c82e4c62,sci-Plex can quantify dose-dependent transcriptional responses to multiple compounds and infer viability scores concordant with gold standard measurements.,positive,provisional,0.9252,deferred,323820,ga_d71249082e7f2eae19ec9e90,local:1-4:paper-assertion:clm-eca46814a1c32df7c82e4c62,claim:234f0c854b66b641f339,sci-plex can quantify dose-dependent transcriptional response to multiple compound and infer viability score concordant with gold standard measurement.,1.0,0,False
1_5,clm_40f5bacbd646a84e5eb149ed,"scGen captures cell-type-specific and species-specific responses, including identifying non-responding cells.",positive,provisional,0.9344,deferred,327040,ga_eac2ed2debecc0c9ff3d312f,local:1-5:paper-assertion:clm-40f5bacbd646a84e5eb149ed,claim:78aadb8a8151e7b03f19,scgen capture cell-type-specific and species-specific response including identifying non-responding cell.,1.0,0,False
1_5,clm_5d983fc1821dc81b57990099,"scGen accurately predicts single-cell perturbation response out-of-sample across cell types, studies, and species.",positive,provisional,0.9344,deferred,327040,ga_6733c78a4ca41797ea6a1d1d,local:1-5:paper-assertion:clm-5d983fc1821dc81b57990099,claim:b136409fe7db51181f8e,scgen accurately predict single-cell perturbation response out-of-sample across cell type study and specy.,1.0,0,False
1_6,clm_1a77cdd149dc785b2f53f202,"CellOT outperforms current methods (scGen, cAE, PopAlign) at predicting single-cell drug responses across both 4i and scRNA-seq data modalities.",positive,accepted,0.8399,core_accepted,839900,ga_1c768492b636e8af5bbfa2b8,local:1-6:paper-assertion:clm-1a77cdd149dc785b2f53f202,claim:059ccdbb52f6692591e8,cellot outperform current method scgen cae popalign at predicting single-cell drug response across both 4i and scrna-seq data modality.,1.0,1,True
1_6,clm_40c10d3b71dfc74f76869774,CellOT captures cell-to-cell variability and heterogeneous subpopulation structures better than autoencoder-based methods.,positive,accepted,0.8399,core_accepted,839900,ga_3e52c559437d882aa8f9f6cc,local:1-6:paper-assertion:clm-40c10d3b71dfc74f76869774,claim:6d97bbda132a3d569b6c,cellot capture cell-to-cell variability and heterogeneous subpopulation structure better than autoencoder-based method.,1.0,1,True
1_6,clm_ab3f81c77f8a7e1a99a2d8db,"CellOT can generalize to unseen patients in lupus IFN-β response prediction, outperforming baselines in both i.i.d. and o.o.s. settings.",positive,accepted,0.8399,core_accepted,839900,ga_680564242be582b7ecb1168a,local:1-6:paper-assertion:clm-ab3f81c77f8a7e1a99a2d8db,claim:fea9be2ef046414100af,cellot can generalize to unseen patient in lupus ifn- response prediction outperforming baseline in both i.i.d. and o.o.. setting.,1.0,0,False
1_6,clm_ce7406aeee2621e41cc27af0,Generalization of CellOT to unseen patients requires similar samples in the unperturbed setting and similar perturbation responses in the training set.,neutral,accepted,0.8399,excluded_invalid,0,ga_6be42aba7b408ec72fe64381,local:1-6:paper-assertion:clm-ce7406aeee2621e41cc27af0,claim:6c6c722fe13f368f42ab,generalization of cellot to unseen patient require similar sample in the unperturbed setting and similar perturbation response in the training set.,1.0,0,False
1_7,clm_1dbd50e4c97c8e850acc46df,chemCPA outperforms CPA for combinatorial drug prediction when using chemical priors.,positive,provisional,0.8982,deferred,314370,ga_c3467ac4177b9ad0387b9adf,local:1-7:paper-assertion:clm-1dbd50e4c97c8e850acc46df,claim:d4354ae7612e3e933db0,chemcpa outperform cpa for combinatorial drug prediction when using chemical prior.,1.0,0,False
1_7,clm_59a7f7af5d3399e6124b4ccf,"CPA imputed 5,329 missing combinations in Perturb-seq, demonstrating applicability to genetic combinatorial screens.",positive,provisional,0.8982,deferred,314370,ga_fac307cb14f92b360a0725ed,local:1-7:paper-assertion:clm-59a7f7af5d3399e6124b4ccf,claim:c6ccad51711b451a8fb8,cpa imputed 5 329 missing combination in perturb-seq demonstrating applicability to genetic combinatorial screen.,1.0,0,False
1_7,clm_5d1283345af9fe3a88f169fd,CPA significantly outperforms scGen in variance and whole distribution prediction.,positive,provisional,0.8982,deferred,314370,ga_de8d94414b559b7ad243f6ec,local:1-7:paper-assertion:clm-5d1283345af9fe3a88f169fd,claim:8c09acbb113f0b0bccb3,cpa significantly outperform scgen in variance and whole distribution prediction.,1.0,0,False
1_7,clm_befe338b29a35bdb94e6da1a,CPA can be applied to combinatorial genetic perturbations and impute missing combinations.,positive,provisional,0.8982,deferred,314370,ga_5049804298ff82047ceacdee,local:1-7:paper-assertion:clm-befe338b29a35bdb94e6da1a,claim:27c2df11f618202d5c8b,cpa can be applied to combinatorial genetic perturbation and impute missing combination.,1.0,0,False
1_7,clm_da49819b0e5fbb1545989c77,CPA can predict out-of-distribution drug combinations and outperforms baseline models.,positive,provisional,0.8982,deferred,314370,ga_895c28967a21c6deca2eabd3,local:1-7:paper-assertion:clm-da49819b0e5fbb1545989c77,claim:ffe0d7463a53f8ecb09e,cpa can predict out-of-distribution drug combination and outperform baseline model.,1.0,0,False
1_8,clm_266e33da38756b4f055014b9,"GEARS significantly outperforms all baseline methods in predicting single-gene perturbation transcriptional responses on both RPE-1 and K562 datasets, with m.s.e. improvement of 30-50% and Pearson correlation more than double that of baselines.",positive,provisional,0.8727,deferred,305445,ga_0f1f36df611d8297b376115b,local:1-8:paper-assertion:clm-266e33da38756b4f055014b9,claim:de2a4e7671200f2210d5,gear significantly outperform all baseline method in predicting single-gene perturbation transcriptional response on both rpe-1 and k562 dataset with m.s.e. improvement of 30-50 and pearson correlation more than double that of baseline.,1.0,0,False
1_8,clm_d8f39feb11d43b314a700e1a,"GEARS outperforms baseline methods in predicting two-gene perturbation outcomes across all generalization classes, with over 30% improvement in m.s.e. and 50% greater enrichment for top DE genes.",positive,provisional,0.8727,deferred,305445,ga_134dcd647625e1e18ccfe217,local:1-8:paper-assertion:clm-d8f39feb11d43b314a700e1a,claim:9a7d4389e2b5f114c8c0,gear outperform baseline method in predicting two-gene perturbation outcome across all generalization classe with over 30 improvement in m.s.e. and 50 greater enrichment for top de gene.,1.0,0,False
1_8,clm_f58718572d19004a48bf4611,"GEARS significantly outperforms CPA in predicting non-additive combinatorial perturbation effects across multiple genetic interaction subtypes, with correlation coefficients ~0.4 vs ~0.0, and precision@10 improvements >40% for four of five subtypes.",positive,provisional,0.8727,deferred,305445,ga_274ac4f9bd4d1edf30ffce2e,local:1-8:paper-assertion:clm-f58718572d19004a48bf4611,claim:21f8b03d054d32c2bd2e,gear significantly outperform cpa in predicting non-additive combinatorial perturbation effect across multiple genetic interaction subtype with correlation coefficient 0.4 vs 0.0 and precision 10 improvement 40 for four of five subtype.,1.0,0,False
1_9,clm_5dc946ec94b2b5a0f44add05,"Pretraining on bulk RNA HTS (L1000) improves chemCPA's generalization performance to unseen drugs, even when the single-cell gene set differs from the bulk set.",positive,provisional,0.9305,deferred,325675,ga_7f11454db5289332b40598f5,local:1-9:paper-assertion:clm-5dc946ec94b2b5a0f44add05,claim:b9ae3c5b7b7bdb1b8069,pretraining on bulk rna hts l1000 improve chemcpa s generalization performance to unseen drug even when the single-cell gene set differ from the bulk set.,1.0,0,False
1_9,clm_6e726649e4e190825fb6f49d,The proposed uncertainty score correlates well with chemCPA's generalization ability to unseen drugs.,positive,provisional,0.9305,deferred,325675,ga_b11679ffd53eebc7d62ad0c7,local:1-9:paper-assertion:clm-6e726649e4e190825fb6f49d,claim:6b1b22758b4cc85c3549,the proposed uncertainty score correlate well with chemcpa s generalization ability to unseen drug.,1.0,0,False
1_9,clm_802adff8e92f8c1d3342281c,chemCPA outperforms CPA and scGen on the task of predicting unseen drug-covariate combinations.,positive,provisional,0.9305,deferred,325675,ga_a7c00fb7b2171bf59dbe0b19,local:1-9:paper-assertion:clm-802adff8e92f8c1d3342281c,claim:80d9ed0165d7e7912a67,chemcpa outperform cpa and scgen on the task of predicting unseen drug-covariate combination.,1.0,0,False
1_9,clm_93220b37266b4a05bf57cb79,"chemCPA can generalize to unseen drugs, a task that cannot be modeled using CPA or scGen.",positive,provisional,0.9305,deferred,325675,ga_7f82b759b1867336c230bd80,local:1-9:paper-assertion:clm-93220b37266b4a05bf57cb79,claim:3322e485182b04980e1a,chemcpa can generalize to unseen drug a task that be modeled using cpa or scgen.,1.0,0,False
1_10,clm_00869c36c2f94716941b02df,Biolord outperforms GEARS in predicting unseen one-gene and two-gene genetic perturbations on Perturb-seq datasets.,positive,provisional,0.8443,deferred,295505,ga_f8f59fbcb48f23f2019f0562,local:1-10:paper-assertion:clm-00869c36c2f94716941b02df,claim:e6673eeba22df85a72d1,biolord outperform gear in predicting unseen one-gene and two-gene genetic perturbation on perturb-seq dataset.,1.0,0,False
1_10,clm_1b3088d5fbac10b5f3ff56e5,"Biolord's learned drug latent space is more biologically informative than input RDKit features, with higher adjusted Rand index (0.16 vs 0.03) and lower uncertainty (0.19 vs 0.32).",positive,provisional,0.8443,excluded_invalid,0,ga_298fa57c4125fc20dc6f1d1d,local:1-10:paper-assertion:clm-1b3088d5fbac10b5f3ff56e5,claim:2a405b9494373ebd4f20,biolord s learned drug latent space is more biologically informative than input rdkit feature with higher adjusted rand index 0.16 vs 0.03 and lower uncertainty 0.19 vs 0.32,1.0,0,False
1_10,clm_22636407fb89c0a6bfbca80f,Biolord robustly predicts unseen drug responses even with 10% of training data (r2 = 0.63).,positive,provisional,0.8443,deferred,295505,ga_8f7d66d7428c99a0a38aeab4,local:1-10:paper-assertion:clm-22636407fb89c0a6bfbca80f,claim:1edbef54e9033db710c6,biolord robustly predict unseen drug response even with 10 of training data r2 0.63,1.0,0,False
1_10,clm_26943fe88c868a155c1bf4da,"Biolord outperforms chemCPA and chemCPA-pre in predicting unseen drug responses on the sci-Plex 3 dataset, achieving r2 = 0.76 vs 0.51 for chemCPA-pre.",positive,provisional,0.8443,deferred,295505,ga_d46d7b1d24b7a9f92f077db7,local:1-10:paper-assertion:clm-26943fe88c868a155c1bf4da,claim:e8e1fe0eead9f3122ab5,biolord outperform chemcpa and chemcpa-pre in predicting unseen drug response on the sci-plex 3 dataset achieving r2 0.76 vs 0.51 for chemcpa-pre.,1.0,0,False
1_11,clm_192d69457c3197af021dbe1b,Combining PertWeight and PertLocal encoders yields synergistic improvement over using either alone.,positive,provisional,0.8827,excluded_invalid,0,ga_49f8ec237f55d7d3e32a18e8,local:1-11:paper-assertion:clm-192d69457c3197af021dbe1b,claim:7d2f6469951a76b64f53,combining pertweight and pertlocal encoder yield synergistic improvement over using either alone.,1.0,0,False
1_11,clm_21a5a63243ecb7393d7ad94d,"AttentionPert's superior performance is not solely due to discarding cross-gene layer, reducing perturbed genes, or using Gene2Vec; the architecture design is essential.",positive,provisional,0.8827,excluded_invalid,0,ga_ad0f8e8db464a3076c4e33b7,local:1-11:paper-assertion:clm-21a5a63243ecb7393d7ad94d,claim:9036bc4fe4567da54bf2,attentionpert s superior performance is solely due to discarding cross-gene layer reducing perturbed gene or using gene2vec the architecture design is essential.,1.0,0,False
1_11,clm_6970c65a1ff6b0f770d5449d,"AttentionPert integrates global and local perturbation effects via PertWeight and PertLocal encoders, improving prediction of nuanced transcriptional responses to single and multi-gene perturbations.",positive,provisional,0.8827,excluded_invalid,0,ga_eb2585e464063342dff0ad42,local:1-11:paper-assertion:clm-6970c65a1ff6b0f770d5449d,claim:4e7a1803a8a02c3ce314,attentionpert integrate global and local perturbation effect via pertweight and pertlocal encoder improving prediction of nuanced transcriptional response to single and multi-gene perturbation.,1.0,0,False
1_11,clm_787d82838157a6ef19440c86,"AttentionPert captures nonadditive effects of multi-gene perturbations, outperforming the additive baseline.",positive,provisional,0.8827,excluded_invalid,0,ga_4ebed7df7f95d32c57b5aaac,local:1-11:paper-assertion:clm-787d82838157a6ef19440c86,claim:f48949d9b70ce711f65b,attentionpert capture nonadditive effect of multi-gene perturbation outperforming the additive baseline.,1.0,0,False
1_11,clm_892259223d5f7d2d8936e302,NA-bias module in PertLocal enhances prediction of nonadditive expression changes.,positive,provisional,0.8827,excluded_invalid,0,ga_7edc1ef8a5fc3d97b721863a,local:1-11:paper-assertion:clm-892259223d5f7d2d8936e302,claim:7e9ecf7f57c3ff8eba66,na-bia module in pertlocal enhance prediction of nonadditive expression change.,1.0,0,False
1_11,clm_93eb0cbac5b3ccc40811f8d4,"AttentionPert outperforms prior methods including SOTA GEARS on RPE1, K562, and Norman datasets.",positive,provisional,0.8827,deferred,308945,ga_636db710df10e971d74b7cf5,local:1-11:paper-assertion:clm-93eb0cbac5b3ccc40811f8d4,claim:f1b5733cda70417c8eb8,attentionpert outperform prior method including sota gear on rpe1 k562 and norman dataset.,1.0,0,False
1_11,clm_bc53e3e22bbf0591ffb27753,AttentionPert achieves superior performance in predicting out-of-distribution multi-gene perturbations where none of the perturbed genes are seen during training.,positive,provisional,0.8827,deferred,308945,ga_3a9e67dea41d76eb2553e919,local:1-11:paper-assertion:clm-bc53e3e22bbf0591ffb27753,claim:a18d1702fd924763e6ed,attentionpert achieve superior performance in predicting out-of-distribution multi-gene perturbation where the perturbed gene are seen during training.,1.0,0,False
1_12,clm_0c06723f53ffd93e2b614306,"None of the deep learning models (GEARS, scGPT, UCE, scBERT, Geneformer) consistently outperformed the mean baseline or the linear model in predicting unseen single perturbation effects.",negative,accepted,0.8935,core_accepted,893500,ga_d424c9a86eb43e63ecba6743,local:1-12:paper-assertion:clm-0c06723f53ffd93e2b614306,claim:79caac0082c1314aa075,the deep learning model gear scgpt uce scbert geneformer consistently outperformed the mean baseline or the linear model in predicting unseen single perturbation effect.,1.0,1,True
1_12,clm_5aa2545892ec3be37b6ecb2b,"None of the seven deep learning models (scGPT, scFoundation, UCE, scBERT, Geneformer, GEARS, CPA) outperformed the additive baseline in predicting double perturbation effects; none outperformed the no-change baseline in predicting genetic interactions.",negative,accepted,0.8935,core_accepted,893500,ga_59482b3bbbcaa0202dc6be8f,local:1-12:paper-assertion:clm-5aa2545892ec3be37b6ecb2b,claim:22a2862fcf6d115b8d98,the seven deep learning model scgpt scfoundation uce scbert geneformer gear cpa outperformed the additive baseline in predicting double perturbation effect outperformed the no-change baseline in predicting genetic interaction.,1.0,2,True
1_13,clm_59bf3f2356e74722ef84af01,Geneformer encodes network hierarchy in its attention weights in a completely self-supervised manner during pretraining.,positive,provisional,0.7236,excluded_invalid,0,ga_1f53a4181611405751944f05,local:1-13:paper-assertion:clm-59bf3f2356e74722ef84af01,claim:74f142dceb4eeb22c755,geneformer encode network hierarchy in its attention weight in a completely self-supervised manner during pretraining.,1.0,0,False
1_13,clm_86d11a5a077e9c5290819260,CRISPR-mediated knockout of TEAD4 in iPSC-derived cardiac microtissues causes a significant reduction in contractile stress.,positive,provisional,0.7236,excluded_invalid,0,ga_a7b61430e912549cca9b4b41,local:1-13:paper-assertion:clm-86d11a5a077e9c5290819260,claim:fb5c2bb5bb73fa1f2d5b,crispr-mediated knockout of tead4 in ipsc-derived cardiac microtissue cause a significant reduction in contractile stress.,1.0,0,False
1_13,clm_8727577bf4dc18ed31a759d4,"CRISPR-mediated knockout of GSN and PLN in TTN+/− cardiac microtissues significantly improves contractile stress, validating them as therapeutic targets for dilated cardiomyopathy.",positive,provisional,0.7236,excluded_invalid,0,ga_75ca38fceebc3b68a175468d,local:1-13:paper-assertion:clm-8727577bf4dc18ed31a759d4,claim:d52f2bb7cc211b82da4e,crispr-mediated knockout of gsn and pln in ttn+ cardiac microtissue significantly improve contractile stress validating them as therapeutic target for dilated cardiomyopathy.,1.0,0,False
1_13,clm_b69102c9c9fb343c420ed13b,Fine-tuning Geneformer significantly boosts predictive accuracy for chromatin dynamics tasks compared to alternative methods.,positive,provisional,0.7236,deferred,253260,ga_dcf73de25935bc46f3f7bb9d,local:1-13:paper-assertion:clm-b69102c9c9fb343c420ed13b,claim:3e46649145e6fbb67618,fine-tuning geneformer significantly boost predictive accuracy for chromatin dynamic task compared to alternative method.,1.0,0,False
1_13,clm_c62cd14381f56b7c3d94441b,In silico deletion of GATA4 or TBX5 in fetal cardiomyocytes is more deleterious to their direct targets compared to indirect targets or housekeeping genes.,positive,provisional,0.7236,excluded_invalid,0,ga_8154ac2dbd92af86297f040b,local:1-13:paper-assertion:clm-c62cd14381f56b7c3d94441b,claim:14c0eba24d5596c6ed48,in silico deletion of gata4 or tbx5 in fetal cardiomyocyte is more deleterious to their direct target compared to indirect target or housekeeping gene.,1.0,0,False
1_13,clm_e07cb765ba40956e0d409009,Fine-tuning Geneformer significantly boosts predictive accuracy for transcription factor regulatory range compared to alternative methods.,positive,provisional,0.7236,deferred,253260,ga_00061121513373e1796c1aa2,local:1-13:paper-assertion:clm-e07cb765ba40956e0d409009,claim:c9552f27c4e94d68492d,fine-tuning geneformer significantly boost predictive accuracy for transcription factor regulatory range compared to alternative method.,1.0,0,False
1_15,clm_21c5c4edf72cf372ab14f99e,"scGPT outperforms scVI, Seurat, and Harmony in multi-batch integration.",positive,provisional,0.9087,deferred,318045,ga_860c722ce3971079fa082a4a,local:1-15:paper-assertion:clm-21c5c4edf72cf372ab14f99e,claim:bbc9148fedf5eaeec11e,scgpt outperform scvi seurat and harmony in multi-batch integration.,1.0,0,False
